countyTract,Offender Density,% under 18,% bachelor's,% female-headed HH,% household sizes > 4,median income,% w/o health ins.,poverty rate,% receiving food stamps
9510103,0.003439803,0.210096154,0.144911745,0.750556793,0.072110286,48152,0.204932735,0.116953317,0.025369979
9510203,0.002051516,0.221830158,0.171253823,0.035714286,0.128738622,60479,0.176896098,0.052199681,0.017125382
9512903,0.00286123,0.275625172,0.125281743,0.428865979,0.131811487,45189,0.191102922,0.172649573,0.043389831
9512904,0.004213483,0.252079867,0.073520965,0.34369287,0.114806867,55521,0.163823738,0.074789326,0.022222222
9513003,0.004153124,0.266423358,0.089407191,0.73456352,0.105342742,36912,0.283716475,0.199562204,0.053271028
9513100,0.005325219,0.261336102,0.114485981,0.444444444,0.105308219,33429,0.15120756,0.240015215,0.084608461
9513203,0.006704487,0.378670013,0.099647887,0.524663677,0.204791345,38488,0.182056788,0.256833419,0.036434109
9513309,0.002188663,0.287963538,0.193884642,0.352422907,0.121599112,53497,0.161596495,0.03714543,0.047285464
9513307,0.003052917,0.270710059,0.20835357,0.388816645,0.106946984,36700,0.317145689,0.225915875,0.02
9513208,0.005217391,0.306462358,0.120075047,0.357414449,0.125214408,30156,0.25813877,0.301548205,0.046861185
9513210,0.004072566,0.331471136,0.149185336,0.476470588,0.142011834,27265,0.260769231,0.147376256,0.017657993
9512906,0.002842151,0.286913474,0.119883041,0.307692308,0.135379061,52104,0.181493071,0.113621408,0.013862634
9513608,0.000183722,0.185765766,0.117329094,0.162657503,0.058669656,48354,0.047541576,0.068198804,0
9514004,0.003219316,0.309996517,0.112594571,0.339556593,0.107142857,37514,0.230201863,0.193158954,0
9512804,0.002810382,0.258117416,0.127233115,0.270603504,0.112378538,47932,0.204622596,0.145147958,0.016407982
9511100,0.006466513,0.215279926,0.242532855,0.4536862,0.093681917,37130,0.149263092,0.121579602,0.031007752
9512400,0.005558363,0.195823784,0.24368231,0.36825886,0.07208238,44908,0.161330049,0.081859525,0.02084507
9511405,0.001732602,0.3760454,0.550445104,0.694018405,0.110254433,22077,0.222548444,0.496950334,0.15944399
9514300,0.004259635,0.2421724,0.267178363,0.186246418,0.080454097,51906,0.099598547,0.063262353,0.023587224
9515000,0.002145347,0.240042769,0.21105919,0.140583554,0.114514953,65595,0.133669944,0.066720474,0.043181818
9515100,0.002518439,0.269712471,0.077054795,0.371785962,0.138351984,59521,0.084270606,0.142197599,0.026572668
9511000,0.008490766,0.220781936,0.073410405,0.23042836,0.10059761,29723,0.30487554,0.257222941,0.05605889
9514111,0,0.305179006,0.231573942,0.122478386,0.110465116,74375,0.146485734,0.048702595,0.017921147
9514006,0.000631114,0.319389764,0.062115621,0.109071841,0.122619601,69199,0.122651596,0.009466709,0.01385571
9514007,0.002145923,0.311745919,0.504513541,0.333333333,0.117021277,57997,0.105773113,0.085480376,0
9512803,0.005061867,0.22674976,0.568862275,0.10298103,0.074273412,51250,0.116647792,0.087739033,0.017241379
9513606,0,0.181245626,0.160539786,0,0.080373832,117250,0.005886681,0.020089286,0
9514112,0.003210273,0.224050633,0.285897436,0,0.112582781,82639,0.017405063,0,0
9514400,0.001793722,0.227130745,0.255490483,0.149056604,0.075723831,63409,0.063478261,0.032735426,0.018973214
9511200,0.003763257,0.25372661,0.189295039,0.178683386,0.115577889,41325,0.061626429,0.11871365,0.001200961
9511300,0.005780347,0.264162689,0.29521899,0.503943909,0.102591222,38806,0.140734626,0.248746867,0.02063228
9511401,0.002424536,0.229033024,0.212139605,0.21774744,0.083286438,49661,0.159059474,0.100012439,0.029685157
9511500,0.007788162,0.267793139,0.079829697,0.265270506,0.111498258,31934,0.232487821,0.228960978,0.03753433
9511600,0.003803983,0.19218307,0.082082552,0.535075653,0.064239829,26201,0.175297892,0.208934388,0.037172775
9514005,0.001536098,0.295566502,0.11443747,0.147404844,0.134099617,57500,0.102113335,0.08218126,0.00952381
9514806,0.003336511,0.24691358,0.146937371,0.080498866,0.098704503,82500,0.049323017,0.008341277,0.015247776
9515300,0.001966845,0.283264528,0.182122905,0.242835596,0.143435981,30060,0.349863014,0.302695035,0.049894589
9515200,0.01044226,0.04806022,0.226358898,0.825,0.001970443,43375,0.19934462,0.118255728,0.011144883
9519300,0.001853724,0.25649046,0.35409396,0.103780578,0.100413223,72757,0.086770495,0.046174587,0.002689377
9511700,0.00608365,0.24467321,0.433462176,0.305516266,0.081309994,33241,0.175332831,0.194343539,0.040905135
9511800,0.008512651,0.234055003,0.289071038,0.466581795,0.096101541,37163,0.232751015,0.239936159,0.020080321
9511900,0.003381014,0.21121823,0.295212766,0.175555556,0.079522863,36922,0.226489265,0.132004981,0.031994554
9512000,0.006350392,0.189387008,0.3694974,0.370098039,0.058437295,42063,0.213827512,0.099738513,0.026329647
9512100,0.005837359,0.221715328,0.261661342,0.299116998,0.091648822,38958,0.149782923,0.187271248,0
9512200,0.004171011,0.234971797,0.101616628,0.468826406,0.094637224,46271,0.149575441,0.108637179,0.020967052
9512300,0.003571429,0.203374778,0.101938263,0.151943463,0.066758431,55345,0.155192532,0.075265643,0.017985612
9514603,0.002060035,0.229485777,0.059909725,0.091331269,0.100898411,56042,0.106476079,0.109991106,0.020378457
9514601,0.001897533,0.205755677,0.152647975,0.161787365,0.08317757,53547,0.078926441,0.094033312,0
9515400,0.021814007,0.369315212,0.525858666,0.627205882,0.137415982,16151,0.28563067,0.561997704,0.120238984
9515900,0.028947368,0.057040998,0.538565109,1,0.003527337,51875,0.253405995,0.25204918,0
9515500,0.018429487,0.254416961,0.312367865,0.526515152,0.135185185,28417,0.283783784,0.380608974,0
9517900,0.000788022,0.231030818,0.357593123,0.257635082,0.062862669,56597,0.066961466,0.077973481,0.013397129
9518600,0.00034002,0.303647716,0.517952636,0.058419244,0.124517375,87390,0.036433033,0,0
9515600,0.007755102,0.270997104,0.448175654,0.573632539,0.118577075,22473,0.298253676,0.405226047,0.111413043
9517000,0.009446114,0.216774194,0.354914656,0.291666667,0.077375122,34625,0.176165803,0.229282954,0.045495905
9515700,0.001154068,0.029692471,0.425946182,0.692307692,0.001410437,39681,0.144340602,0.171956145,0.026033691
9514701,0.000903614,0.186303586,0.551742206,0.215151515,0.049001815,50492,0.122614228,0.114233354,0.008360129
9514604,0.001015435,0.189149251,0.26937046,0.248459959,0.046808511,37374,0.137635379,0.119893246,0.010869565
9514702,0.001375786,0.19714399,0.277807922,0.012033694,0.093429158,86884,0.046849427,0.03856302,0.006423983
95600,0.005898367,0.307231493,0.300964489,0.237398374,0.233400402,27579,0.317515528,0.333180147,0.043010753
95700,0.003012804,0.310454323,0.115308933,0.617412141,0.230952381,31729,0.261066667,0.346216913,0.058912387
95800,0.013814617,0.329059829,0.251619048,0.320297952,0.2408,29416,0.412610885,0.332284173,0.031702274
95900,0.014792899,0.290301442,0.309039548,0.269345238,0.177464789,36163,0.415279138,0.32111213,0.017399267
9515800,0.010776256,0.030976431,0.179417122,0,0.001272265,54821,0.153050672,0.038720539,0
9516000,0.00636653,0.307065217,0.283807829,0.871491876,0.141579732,22622,0.331812999,0.506241331,0.058971142
9516500,0.010268949,0.258415329,0.21601541,0.416666667,0.123376623,30842,0.236319904,0.129400099,0.064150943
9516100,0.005301205,0.184750733,0.211446741,0.834042553,0.034038638,26659,0.193581781,0.202841744,0.049010368
9516200,0.008137432,0.198268398,0.171933401,0,0.066162571,21216,0.321708806,0.242314647,0.02480916
9516300,0.014907573,0.242040816,0.21294001,0.516640254,0.08839779,29227,0.303153989,0.362850328,0.049042146
9517500,0.006582278,0.25739645,0.138909634,0.384615385,0.083636364,63672,0.095290859,0.110379747,0
9517100,0.005533779,0.252852697,0.244602422,0.645914397,0.100502513,30965,0.263330215,0.248208921,0.006866417
215480100,0.005378657,0.201073071,0.263558942,0.232119636,0.094949495,30663,0.154513889,0.167336011,0.032162505
215480400,0.003168377,0.233631653,0.218682271,0.182440847,0.079699248,31419,0.15276273,0.290928366,0.029375765
215480200,0.003345499,0.225373417,0.134195635,0.282460137,0.086261981,30361,0.191853601,0.265310115,0.025468525
215480300,0.006506849,0.224931003,0.116425993,0.260472201,0.073599414,35067,0.182918954,0.138956213,0.032724505
951900,0.024694708,0.317692767,0.239219246,0.317280453,0.214535902,25711,0.415605977,0.389145183,0.124183007
952000,0.019492294,0.319777397,0.180653162,0.194267516,0.232839838,26703,0.357774968,0.407071623,0.025606469
952100,0.007186489,0.362850467,0.175051688,0.503822099,0.240477969,23430,0.25670027,0.386651584,0.045084996
952200,0.002180549,0.285960083,0.165167621,0.309090909,0.172541744,23250,0.338435374,0.375822653,0
952300,0.002516628,0.311718388,0.116402116,0.207852194,0.215447154,27404,0.232695811,0.319070259,0.050359712
953400,0.005473927,0.322039474,0.092468307,0.412565445,0.20661986,24146,0.350800582,0.435033132,0.109075044
955700,0.008159565,0.237768633,0.10387985,0.593373494,0.110619469,21288,0.267674522,0.27425204,0.026508227
955801,0.014051522,0.246746204,0.066305819,0.896995708,0.068315665,20895,0.287072243,0.31147541,0.121328225
9510500,0.004710145,0.260382736,0.05397104,0.309594461,0.104113763,33103,0.176692564,0.175728378,0.037689472
9510600,0.002471577,0.257063024,0.068982387,0.249240122,0.1152,48341,0.085453359,0.063918966,0.046443515
9516400,0.007820137,0.287773625,0.176448457,0.575581395,0.151785714,24485,0.36321031,0.311524912,0.133531157
9518100,0.001241355,0.298058106,0.214908457,0.139300135,0.124890447,86060,0.030479183,0.019684341,0.003016591
9516600,0.00487013,0.283455675,0.122702206,0.962585034,0.117804552,17550,0.310657596,0.441017316,0.043824701
9516700,0.010305851,0.111638955,0.1277203,0.385892116,0.023625844,29665,0.253671562,0.223815877,0.008428359
