id,address,city,state,zip,longitude,latitude,state,county,tract
70,1156 Grand Ave, Carthage, MO,64836,-94.309527,37.168578,29,97,11700
71,4311 Newman Rd, Joplin, MO,64801,-94.453716,37.097932,29,97,11900
72,1360 Tamm Ave, Saint Louis, MO,63139,-90.293371,38.625357,29,510,104500
73,4970 Oakland Ave, Saint Louis, MO,63110,-90.267345,38.628991,29,510,104500
74,5890 Etzel Ave, Saint Louis, MO,63112,-90.288682,38.664289,29,510,105400
75,4701 S Grand Blvd, Saint Louis, MO,63111,-90.249384,38.574589,29,510,115300
76,1435 Mallinckrodt St, Saint Louis, MO,63107,-90.199423,38.660275,29,510,126700
77,3145 Lafayette Ave, Saint Louis, MO,63104,-90.231503,38.616161,29,510,127300
78,2310 Madison Ave, Kansas City, MO,64108,-94.594816,39.084949,29,95,15300
79,2816 E 23rd St, Kansas City, MO,64127,-94.549624,39.084585,29,95,16000
80,1911 E 23rd St, Kansas City, MO,64127,-94.56008,39.084559,29,95,16600
81,211 W Linwood Blvd, Kansas City, MO,64111,-94.588182,39.067642,29,95,16700
82,4232 Mercier St, Kansas City, MO,64111,-94.602095,39.051399,29,95,16800
83,4050 Pennsylvania Ave, Kansas City, MO,64111,-94.592251,39.053762,29,95,16800
84,8524 Blue Ridge Blvd, Kansas City, MO,64138,-94.497338,38.9685,29,95,17200
85,10631 Wornall Rd, Kansas City, MO,64114,-94.596843,38.936012,29,95,17300
86,9207 Old Santa Fe Rd, Kansas City, MO,64138,-94.50759,38.958187,29,95,17400
87,5000 NW Valley View Rd, Blue Springs, MO,64015,-94.321181,39.032305,29,95,19300
88,2616 Connecticut Ave, Joplin, MO,64804,-94.494816,37.061383,29,97,10600
89,701 3rd St, Hillsboro, MO,63050,-90.566386,38.232884,29,99,700502
90,4450 Outreach Dr, Hillsboro, MO,63050,-90.521659,38.300107,29,99,700604
91,1030 Saint Pius Dr, Festus, MO,63028,-90.392411,38.202698,29,99,700700
92,523 S 4th St, De Soto, MO,63020,-90.558556,38.135752,29,99,701200
93,6024 Old Antonia Rd, Imperial, MO,63052,-90.391453,38.368599,29,99,700109
94,202 Front St, Pierce City, MO,65723,-94.004543,36.943763,29,109,470400
95,19481 State Highway B, Canton, MO,63435,-91.519141,40.112519,29,111,970100
96,33037 Alpine Ln, Falcon, MO,65470,-92.431591,37.486467,29,105,960298
97,1880 Washington Ave, Lexington, MO,64067,-93.873441,39.186399,29,107,90200
98,1500 Lipper Ave, Higginsville, MO,64037,-93.71192,39.079923,29,107,90400
99,311 W 23rd St, Higginsville, MO,64037,-93.71992,39.070236,29,107,90400
100,877 Hwy UU, Miller, MO,65707,-93.909598,37.27282,29,109,470100
101,17818 Lawrence 2200, Aurora, MO,65605,-93.739279,36.984174,29,109,470300
102,218 N Main St, Freistatt, MO,65654,-93.897877,37.018879,29,109,470300
103,25 Saint Alphonsus Rd, Silex, MO,63377,-91.105445,39.123929,29,113,810202
104,110 Thompson Dr, Troy, MO,63379,-90.961667,38.97758,29,113,810301
105,1820 S Baltimore St, Kirksville, MO,63501,-92.571972,40.179572,29,1,950500
106,712 E Washington St, Kirksville, MO,63501,-92.576911,40.194658,29,1,950900
107,401 E Kellett St, Martinsburg, MO,65264,-91.643144,39.101732,29,7,950200
108,204 N Grand St, Mexico, MO,65265,-91.869196,39.172026,29,7,950400
109,620 S Clark St, Mexico, MO,65265,-91.885149,39.165675,29,7,950700
110,4600 Christian Fellowship Rd, Columbia, MO,65203,-92.401777,38.953937,29,19,1805
111,204 E Butterfield Trl, Cole Camp, MO,65325,-93.202091,38.459074,29,15,460100
112,3300 S Providence Rd, Columbia, MO,65203,-92.334541,38.914252,29,19,1101
113,817 Bernadette Dr, Columbia, MO,65203,-92.368539,38.962101,29,19,1300
114,1801 N Stadium Blvd, Columbia, MO,65202,-92.371057,38.97333,29,19,1400
115,419 County Rd 5231, Poplar Bluff, MO,63901,-90.446409,36.803018,29,23,950100
116,700 State Rd Z, Fulton, MO,65251,-91.936781,38.861458,29,27,70300
117,777 Shepherdsfield Rd, Fulton, MO,65251,-92.011163,38.828469,29,27,70500
118,3529 Frederick Ave, St Joseph, MO,64506,-94.807901,39.776994,29,21,600
119,2614 Seneca St, St Joseph, MO,64507,-94.828929,39.757173,29,21,1500
120,1405 Weisenborn Rd, St Joseph, MO,64507,-94.771645,39.754854,29,21,1700
121,1855 Perryville Rd, Cape Girardeau, MO,63701,-89.546145,37.332477,29,31,881200
122,2039 Cape Lacroix Rd, Cape Girardeau, MO,63701,-89.576251,37.344745,29,31,881200
123,265 Notre Dame Dr, Cape Girardeau, MO,63701,-89.610782,37.304704,29,31,881500
124,310 Johnston Pkwy, Raymore, MO,64083,-94.470532,38.807121,29,37,60301
125,223 N Municipal Cir, Raymore, MO,64083,-94.468301,38.809829,29,37,60301
126,300 S Hope St, Jackson, MO,63755,-89.666857,37.380475,29,31,880400
127,216 S Russell St, Jackson, MO,63755,-89.67028,37.381653,29,31,880400
128,4300 N Corrington Ave, Kansas City, MO,64117,-94.495568,39.170082,29,47,20604
129,309 S Stewart Rd, Liberty, MO,64068,-94.457862,39.240971,29,47,20801
130,5600 N Brighton Ave, Kansas City, MO,64119,-94.521172,39.195614,29,47,20901
131,4737 N Cleveland Ave, Kansas City, MO,64117,-94.534483,39.181706,29,47,20901
132,7019 N Cherry St, Gladstone, MO,64118,-94.573749,39.2224,29,47,21101
133,804 NE Shady Lane Dr, Kansas City, MO,64118,-94.570641,39.210151,29,47,21101
134,6415 NE Antioch Rd, Gladstone, MO,64119,-94.536434,39.209827,29,47,21102
135,810 S Cedar St, Belton, MO,64012,-94.531079,38.802317,29,37,61300
136,12998 E 1400 Rd, Stockton, MO,65785,-93.837587,37.695134,29,39,870100
137,1600 S Ohio St, El Dorado Springs, MO,64744,-94.015979,37.857414,29,39,870200
138,105 N Willie Ave, Salisbury, MO,65281,-92.806575,39.42493,29,41,470300
139,1681 Spokane Rd, Spokane, MO,65754,-93.297695,36.860027,29,43,20500
140,7206 Saint Martins Blvd, Jefferson City, MO,65109,-92.33561,38.593142,29,51,20600
141,17291 Lone Elm Rd, Bunceton, MO,65237,-92.735185,38.825072,29,53,950100
142,502 7th St, Boonville, MO,65233,-92.740488,38.975092,29,53,950200
143,405 Harris St, Pilot Grove, MO,65276,-92.912663,38.872815,29,53,950500
144,17211 NE 180th St, Holt, MO,64048,-94.368391,39.418202,29,47,21804
145,650 E Ruth Ewing Rd, Liberty, MO,64068,-94.410451,39.215754,29,47,22301
146,1812 E McCarty St, Jefferson City, MO,65101,-92.140602,38.561623,29,51,10300
147,1208 E McCarty St, Jefferson City, MO,65101,-92.158621,38.565147,29,51,10300
148,900 Moreau Dr, Jefferson City, MO,65101,-92.166399,38.561197,29,51,10500
149,3212 Emerald Ln, Jefferson City, MO,65109,-92.245041,38.570356,29,51,10701
150,2303 W Main St, Jefferson City, MO,65109,-92.209855,38.592465,29,51,10900
151,7307 Route M, Jefferson City, MO,65101,-92.059885,38.514845,29,51,20198
152,8231 Tanner Bridge Rd, Jefferson City, MO,65101,-92.225119,38.476671,29,51,20200
153,6410 Route W, Jefferson City, MO,65101,-92.175677,38.488607,29,51,20200
154,784 State Road T, Tunas, MO,65764,-92.966282,37.825875,29,59,480100
155,407 School Ave, Cuba, MO,65453,-91.406252,38.064093,29,55,450302
156,300 1st St N, Rosebud, MO,63091,-91.402415,38.387245,29,73,960300
157,5579 Gildehaus Rd, Villa Ridge, MO,63089,-90.938954,38.484573,29,71,800100
158,1000 Borgia Dr, Washington, MO,63090,-91.025493,38.551151,29,71,800300
159,225 Cedar St, Washington, MO,63090,-91.014949,38.560381,29,71,800300
160,210 High St, Washington, MO,63090,-91.023044,38.563506,29,71,800300
161,6520 Highway YY, Washington, MO,63090,-91.047306,38.497378,29,71,800402
162,6 W State St, Union, MO,63084,-91.00883,38.446763,29,71,800601
163,223 W Union St, Pacific, MO,63069,-90.742961,38.483149,29,71,800701
164,1352 Parkway Dr, Parkway, MO,63077,-90.968529,38.336149,29,71,800902
165,125 E Springfield Rd, St Clair, MO,63077,-90.985707,38.342276,29,71,800902
166,119 W Springfield Rd, Sullivan, MO,63080,-91.161917,38.214102,29,71,801101
167,10835 E 255th Ave, Eagleville, MO,64442,-93.936765,40.561917,29,81,950100
168,515 W Scott St, Springfield, MO,65802,-93.294789,37.22005,29,77,600
169,2852 S Dayton Ave, Springfield, MO,65807,-93.301619,37.162999,29,77,1400
170,704 S Belview Ave, Springfield, MO,65802,-93.247081,37.201754,29,77,2300
171,2020 E Battlefield St, Springfield, MO,65804,-93.258645,37.159105,29,77,2600
172,2434 E Battlefield St, Springfield, MO,65804,-93.248485,37.158652,29,77,2600
173,3304 S Cox Ave, Springfield, MO,65807,-93.323003,37.156516,29,77,3002
174,2155 W Chesterfield Blvd, Springfield, MO,65807,-93.321869,37.145915,29,77,3002
175,2340 S Eastgate Ave, Springfield, MO,65809,-93.222864,37.173261,29,77,3800
176,2200 W Republic Rd, Springfield, MO,65807,-93.324124,37.138273,29,77,4102
177,2660 N Grant Ave, Springfield, MO,65803,-93.297235,37.245536,29,77,5600
178,2850 N Park Ave, Springfield, MO,65803,-93.319778,37.249289,29,77,5600
179,271 W Division Rd, Clinton, MO,64735,-93.816782,38.368049,29,83,950400
180,608 Kansas Ave, Montrose, MO,64770,-93.982916,38.260124,29,83,950400
181,400 E Wilson St, Clinton, MO,64735,-93.770917,38.364237,29,83,950600
182,205 N Howard St, New Franklin, MO,65274,-92.735609,39.019005,29,89,960200
183,1515 Bennett Ave, Saint Louis, MO,63122,-90.389794,38.605037,29,189,217500
184,1575 N Woodlawn Ave, Saint Louis, MO,63122,-90.396636,38.610201,29,189,217500
185,2307 S Lindbergh Blvd, Saint Louis, MO,63131,-90.406029,38.622243,29,189,217600
186,1300 N Ballas Rd, Saint Louis, MO,63131,-90.443891,38.60524,29,189,217600
187,1021 Municipal Center Dr, Saint Louis, MO,63131,-90.451034,38.631283,29,189,217701
188,2145 N Ballas Rd, Saint Louis, MO,63131,-90.443805,38.620663,29,189,217701
189,12300 S 40 Dr, Saint Louis, MO,63141,-90.451431,38.636332,29,189,217701
190,519 Weidman Rd, Ballwin, MO,63011,-90.494323,38.602994,29,189,217702
191,417 Weidman Rd, Ballwin, MO,63011,-90.493029,38.599593,29,189,217702
192,500 Woods Mill Rd, Ballwin, MO,63011,-90.508355,38.602097,29,189,217702
193,800 Maryville Centre Dr, Chesterfield, MO,63017,-90.498697,38.638802,29,189,217702
194,15834 Clayton Rd, Ballwin, MO,63011,-90.58176,38.604807,29,189,217806
195,15668 Clayton Rd, Ballwin, MO,63011,-90.575142,38.605443,29,189,217806
196,15712 Clayton Rd, Ballwin, MO,63011,-90.577667,38.604802,29,189,217806
197,248 New Ballwin Rd, Ballwin, MO,63021,-90.55762,38.584241,29,189,217923
198,555 Saint Joseph Ln, Ballwin, MO,63021,-90.518243,38.586989,29,189,217941
199,4220 Ripa Ave, Saint Louis, MO,63125,-90.30595,38.535221,29,189,220100
200,320 E Ripa Ave, Saint Louis, MO,63125,-90.272247,38.524232,29,189,220200
201,74 Kearney St, Saint Louis, MO,63125,-90.285133,38.504608,29,189,220300
202,4900 Ringer Rd, Saint Louis, MO,63129,-90.331515,38.48731,29,189,220431
203,4550 Telegraph Rd, Saint Louis, MO,63129,-90.304354,38.479803,29,189,220442
204,6611 Christopher Dr, Saint Louis, MO,63129,-90.306387,38.443263,29,189,220445
205,618 W Ripa Ave, Saint Louis, MO,63125,-90.286954,38.524002,29,189,220501
206,11019 Mueller Rd, Saint Louis, MO,63123,-90.345537,38.52386,29,189,220601
207,4248 Green Park Rd, Saint Louis, MO,63125,-90.314287,38.527756,29,189,220602
208,10230 Gravois Rd, Saint Louis, MO,63123,-90.344508,38.548123,29,189,220701
209,9515 Tesson Ferry Rd, Saint Louis, MO,63123,-90.332903,38.547172,29,189,220701
210,8874 Pardee Rd, Saint Louis, MO,63123,-90.359435,38.559956,29,189,220801
211,1235 E Main St, Perry, MO,63462,-91.661175,39.429499,29,173,470300
212,15800 Manchester Rd, Ballwin, MO,63011,-90.581195,38.592611,29,189,217943
213,2809 Barrett Station Rd, Ballwin, MO,63021,-90.4655,38.580245,29,189,218011
214,12 Ann Ave, Valley Park, MO,63088,-90.492198,38.552075,29,189,218103
215,110 W Woodbine Ave, Saint Louis, MO,63122,-90.406809,38.574164,29,189,218300
216,215 N Clay Ave, Saint Louis, MO,63122,-90.408735,38.582457,29,189,218300
217,2005 Dougherty Ferry Rd, Saint Louis, MO,63122,-90.440648,38.585452,29,189,218401
218,915 N Elm Ave, Saint Louis, MO,63119,-90.356016,38.605685,29,189,218900
219,7825 Big Bend Blvd, Saint Louis, MO,63119,-90.332491,38.596439,29,189,219100
220,110 N Elm Ave, Saint Louis, MO,63119,-90.356333,38.595227,29,189,219200
221,44 N Gore Ave, Saint Louis, MO,63119,-90.359606,38.594386,29,189,219200
222,341 E Lockwood Ave, Saint Louis, MO,63119,-90.34878,38.591932,29,189,219200
223,530 E Lockwood Ave, Saint Louis, MO,63119,-90.341364,38.591026,29,189,219200
224,11914 Eddie and Park Rd, Saint Louis, MO,63126,-90.390142,38.544436,29,189,220803
225,4100 S Lindbergh Blvd, Saint Louis, MO,63127,-90.396895,38.539795,29,189,220803
226,11232 Big Bend Rd, Saint Louis, MO,63122,-90.418726,38.566858,29,189,221100
227,9750 Sappington Rd, Saint Louis, MO,63128,-90.380075,38.527488,29,189,221202
228,4709 Mattis Rd, Saint Louis, MO,63128,-90.360694,38.500332,29,189,221301
229,1481 Hawkins Rd, Fenton, MO,63026,-90.492664,38.504101,29,189,221422
230,465 New Smizer Mill Rd, Fenton, MO,63026,-90.448455,38.515795,29,189,221423
231,500 Meramec Blvd, Eureka, MO,63025,-90.638989,38.508611,29,189,221502
232,245 N Levering Ave, Hannibal, MO,63401,-91.382879,39.705715,29,127,960600
233,1400 E McKinsey St, Moberly, MO,65270,-92.418361,39.408645,29,175,490500
234,210 S Williams St, Moberly, MO,65270,-92.439159,39.417364,29,175,490500
235,307 Terrill Rd, Moberly, MO,65270,-92.440907,39.387267,29,175,490500
236,8595 Old Highway 60, Mountain Grove, MO,65711,-92.312779,37.130616,29,229,490400
237,4070 Blow St, Saint Louis, MO,63116,-90.275359,38.563022,29,510,101200
238,3929 Wilmington Ave, Saint Louis, MO,63116,-90.263029,38.569436,29,510,101300
239,7300 Virginia Ave, Saint Louis, MO,63111,-90.259285,38.552081,29,510,101800
240,5850 Eichelberger St, Saint Louis, MO,63109,-90.294904,38.581713,29,510,102200
241,5831 S Kingshighway Blvd, Saint Louis, MO,63109,-90.282589,38.577914,29,510,102200
242,6000 Jamieson Ave, Saint Louis, MO,63109,-90.303596,38.577493,29,510,102200
243,17770 Mueller Rd, Wildwood, MO,63038,-90.673652,38.588276,29,189,221621
244,2005 Shepard Rd, Wildwood, MO,63038,-90.641762,38.59771,29,189,221621
245,513 Strecker Rd, Wildwood, MO,63011,-90.614846,38.608824,29,189,221626
246,16554 Clayton Rd, Wildwood, MO,63011,-90.618681,38.605616,29,189,221626
247,1633 Kehrs Mill Rd, Chesterfield, MO,63005,-90.613048,38.644833,29,189,221627
248,238 Santa Maria Dr, Chesterfield, MO,63005,-90.579481,38.660593,29,189,221628
249,1809 Clarkson Rd, Chesterfield, MO,63017,-90.569815,38.639129,29,189,221628
250,1809 Clarkson Rd, Chesterfield, MO,63017,-90.569815,38.639129,29,189,221628
251,17815 Wild Horse Creek Rd, Chesterfield, MO,63005,-90.641207,38.652214,29,189,221629
252,16601 Wild Horse Creek Rd, Chesterfield, MO,63005,-90.5822,38.659481,29,189,221629
253,31 Wood River Rd, Lake Ozark, MO,65049,-92.600971,38.167206,29,131,962800
254,4689 N Highway 94, Saint Charles, MO,63301,-90.451468,38.859976,29,183,310100
255,619 N 2nd St, Saint Charles, MO,63301,-90.480118,38.786351,29,183,310400
256,431 Decatur St, St Charles, MO,63301,-90.482424,38.787888,29,183,310400
257,6535 Eichelberger St, Saint Louis, MO,63109,-90.305122,38.582674,29,510,103100
258,6235 Wydown Blvd, Saint Louis, MO,63105,-90.302309,38.644724,29,510,105198
259,6040 Waterman Blvd, Saint Louis, MO,63112,-90.295357,38.650356,29,510,105198
260,500 De Baliviere Ave, Saint Louis, MO,63112,-90.284596,38.651602,29,510,105200
261,1823 S Miami Ave, Marshall, MO,65340,-93.208857,39.101881,29,195,90500
262,606 Sycamore St, Scott City, MO,63780,-89.51147,37.223242,29,201,780100
263,419 S 3rd St, Chaffee, MO,63740,-89.661001,37.17858,29,201,780200
264,306 Court St, Charleston, MO,63834,-89.347484,36.924111,29,133,950200
265,65498 Coal Banks Rd, Versailles, MO,65084,-92.67111,38.485137,29,135,385300
266,39294 Excelsior Dr, Latham, MO,65050,-92.702854,38.496092,29,135,385300
267,118 E Cooper St, Tipton, MO,65081,-92.782053,38.654453,29,135,385400
268,620 S Main St, Monroe City, MO,63456,-91.734617,39.647435,29,137,960100
269,529 Winter St, Monroe City, MO,63456,-91.741241,39.652126,29,137,960100
270,201 1st Capitol Dr, St Charles, MO,63301,-90.483378,38.779975,29,183,310502
271,2721 Zumbehl Rd, St Charles, MO,63301,-90.53543,38.801182,29,183,310802
272,1 Seton Ct, St Charles, MO,63303,-90.542019,38.776832,29,183,310902
273,5911 S Hwy 94, Weldon Spring, MO,63304,-90.688024,38.713445,29,183,311124
274,1351 Motherhead Rd, Saint Charles, MO,63304,-90.652423,38.74345,29,183,311124
275,4500 Pope Ave, Saint Louis, MO,63115,-90.230647,38.677653,29,510,109600
276,4145 Kennerly Ave, Saint Louis, MO,63113,-90.233916,38.658993,29,510,111400
277,5209 Waterman Blvd, Saint Louis, MO,63108,-90.270605,38.648905,29,510,112100
278,5110 Wilson Ave, Saint Louis, MO,63110,-90.271214,38.615498,29,510,113500
279,4711 Tamm Ave, Saint Louis, MO,63109,-90.298628,38.588292,29,510,114102
280,5821 Pernod Ave, Saint Louis, MO,63139,-90.29141,38.596635,29,510,114200
281,906 Eichelberger St, Saint Louis, MO,63111,-90.249763,38.56878,29,510,115500
282,106 N Stoddard St, Sikeston, MO,63801,-89.59223,36.876175,29,201,781200
283,210 S Kingshighway St, Sikeston, MO,63801,-89.587069,36.875364,29,201,781200
284,101 Nations Blvd, Bethel, MO,63434,-91.985507,39.942686,29,205,450100
285,407 W 3rd St, Montgomery City, MO,63361,-91.509151,38.97657,29,139,970200
286,255 Spencer Rd, Saint Peters, MO,63376,-90.60368,38.787179,29,183,311203
287,1610 Willott Rd, Saint Peters, MO,63376,-90.598904,38.776152,29,183,311203
288,650 Salt Lick Rd, Saint Peters, MO,63376,-90.661706,38.789144,29,183,311422
289,1913 Trade Center Dr, Saint Peters, MO,63376,-90.665758,38.800643,29,183,311422
290,4130 Wyoming St, Saint Louis, MO,63116,-90.256526,38.600218,29,510,116200
291,3401 Arsenal St, Saint Louis, MO,63118,-90.237753,38.602222,29,510,116500
292,3964 Castleman Ave, Saint Louis, MO,63110,-90.246688,38.614865,29,510,117200
293,4257 Magnolia Ave, Saint Louis, MO,63110,-90.257048,38.60876,29,510,117200
294,825 S Taylor Ave, Saint Louis, MO,63110,-90.260357,38.632823,29,510,118600
295,4430 Maryland Ave, Saint Louis, MO,63108,-90.25489,38.643317,29,510,119102
296,4445 Lindell Blvd, Saint Louis, MO,63108,-90.255889,38.642116,29,510,119102
297,4389 Lindell Blvd, Saint Louis, MO,63108,-90.253793,38.641684,29,510,119102
298,701 N Spring Ave, Saint Louis, MO,63108,-90.234547,38.641931,29,510,119300
299,3851 Washington Blvd, Saint Louis, MO,63108,-90.236774,38.641754,29,510,119300
300,3022 Oregon Ave, Saint Louis, MO,63118,-90.229591,38.601298,29,510,124200
301,1145 Tom Ginnever Ave, O'Fallon, MO,63366,-90.669104,38.821459,29,183,311601
302,203 W 3rd St, O'Fallon, MO,63366,-90.701746,38.812881,29,183,311802
303,31 Saint Dominic Dr, O'Fallon, MO,63366,-90.721651,38.804148,29,183,311802
304,2089 Hanley Rd, Dardenne Prairie, MO,63368,-90.756287,38.766448,29,183,311904
305,560 Powell Ave, New Madrid, MO,63869,-89.528568,36.589031,29,143,960300
306,214 W 4th St, Portageville, MO,63873,-89.703729,36.427589,29,143,960600
307,903 W South St, Neosho, MO,64850,-94.381853,36.858115,29,145,20200
308,1799 Lake Saint Louis Blvd, Lake St Louis, MO,63367,-90.776071,38.784812,29,183,311909
309,1235 Church Rd, O Fallon, MO,63366,-90.744314,38.86177,29,183,312001
310,5059 Highway P, Flint Hill, MO,63385,-90.863484,38.854865,29,183,312001
311,1410 Josephville Rd, Wentzville, MO,63385,-90.808314,38.818101,29,183,312095
312,124 S Main St, Foristell, MO,63348,-90.957828,38.815445,29,183,312097
313,701 S Church St, Wentzville, MO,63385,-90.854144,38.807541,29,183,312195
314,21353 Old Hwy 160, Reeds Spring, MO,65737,-93.347309,36.795879,29,209,90602
315,50 Hope Way, Reeds Spring, MO,65737,-93.37355,36.692288,29,209,90602
316,254 Wilson Rd, Branson, MO,65616,-93.214624,36.678514,29,213,480201
317,5 McMenamy Rd, Saint Peters, MO,63376,-90.62073,38.791921,29,183,312400
318,5100 Mexico Rd, Saint Peters, MO,63376,-90.590389,38.792602,29,183,312400
319,4175 N Kingshighway Blvd, Saint Louis, MO,63115,-90.248629,38.681283,29,510,126900
320,4720 Carter Ave, Saint Louis, MO,63115,-90.238506,38.681027,29,510,126900
321,13901 US Hwy 160, Forsyth, MO,65653,-93.125452,36.717626,29,213,480202
322,119 Myrtle Ave, Hollister, MO,65672,-93.212366,36.625487,29,213,480502
323,315 S Davis St, Maryville, MO,64468,-94.865973,40.343659,29,147,470400
