id,address,city,state,zip,state,county,tract,longitude,latitude
606,129 Gray Ave, Chaffee, MO,63740,29,201,780200,-92.185394,38.579667
608,711 E Commercial St, Charleston, MO,63834,29,133,950200,-92.20507,38.551443
609,121 E Pine St, East Prairie, MO,63845,29,133,950400,-92.217674,38.539458
610,409 N Martin St, East Prairie, MO,63845,29,133,950400,-92.187259,38.560288
611,115 N Lincoln St, East Prairie, MO,63845,29,133,950400,-92.181161,38.562732
612,309 3rd St, Monroe City, MO,63456,29,137,960100,-92.215465,38.595622
613,3450 Pheasant Meadow Dr, O Fallon, MO,63368,29,183,311124,-92.173538,38.492955
614,309 S Thomas St, Madison, MO,65263,29,137,960300,-92.209003,38.56256
615,1060 N Walker St, Montgomery City, MO,63361,29,139,970200,-92.270743,38.570474
616,908 S Sturgeon St, Montgomery City, MO,63361,29,139,970200,-94.395189,39.104182
617,7375 Weldon Springs Rd, O Fallon, MO,63368,29,183,311151,-92.201998,38.590355
618,2650 Tri Sprots Cir, O Fallon, MO,63368,29,183,311152,-90.267706,38.712016
619,7068 S Outer Rd 364, O Fallon, MO,63368,29,183,311152,-92.177344,38.564515
620,4088 Winghaven Blvd, O Fallon, MO,63368,29,183,311153,-90.27125,38.725274
621,7767 Highway N, O Fallon, MO,63368,29,183,311153,-90.252965,38.729569
622,7778 Winghaven Blvd, O Fallon, MO,63368,29,183,311153,-94.510776,37.120857
623,9008 Phoenix Pkwy, O Fallon, MO,63368,29,183,311153,-92.170267,38.551657
624,9983 Winghaven Blvd, O Fallon, MO,63368,29,183,311153,-94.474448,37.077975
625,7104 Twin Chimneys Blvd, O Fallon, MO,63368,29,183,311154,-94.523048,37.071984
626,7396 Twin Chimneys Blvd, O Fallon, MO,63368,29,183,311154,-94.514292,37.068106
627,916 Withrow Dr, Oran, MO,63771,29,201,780300,-94.566897,37.144176
628,27991 Rock Ave, Bell City, MO,63735,29,207,470100,-94.520973,37.07061
629,615 N Prairie St, Bloomfield, MO,63825,29,207,470300,-94.512823,37.102098
631,864 Homefield Blvd, O Fallon, MO,63366,29,183,311601,-94.516804,37.062226
632,140 TR Hughes Blvd, O Fallon, MO,63366,29,183,311601,-94.495115,37.054596
633,900 Homefield Blvd, O Fallon, MO,63366,29,183,311601,-94.46126,37.097994
634,220 Sonderen St, O Fallon, MO,63366,29,183,311602,-94.514182,37.05247
635,128 E Elm St, O Fallon, MO,63366,29,183,311602,-94.511312,37.125112
636,610 Prince Ruppert Dr, O Fallon, MO,63366,29,183,311602,-94.449482,37.069195
637,401 Glengate Estates Dr, O Fallon, MO,63366,29,183,311722,-94.538518,37.055351
638,9295 Mexico Rd, O Fallon, MO,63366,29,183,311722,-94.489842,37.106761
640,200 Meriwether Lewis Dr, O Fallon, MO,63368,29,183,311732,-94.479676,37.078252
642,206 McDonald Ln, O Fallon, MO,63366,29,183,311734,-94.514352,37.044331
643,2796 Highway K, O Fallon, MO,63368,29,183,311735,-94.518663,37.098619
644,123 Hutchings Farm Dr, O Fallon, MO,63368,29,183,311735,-94.532205,37.057208
645,2688 Highway K, O Fallon, MO,63368,29,183,311735,-94.524307,37.084402
646,1075 Highway P, O Fallon, MO,63366,29,183,311801,-94.500922,37.059442
648,203 W 3rd St, O Fallon, MO,63366,29,183,311802,-94.575023,39.099588
649,10390 Veterans Memorial Pkwy, Lake Saint Louis, MO,63367,29,183,311904,-94.556986,38.997673
650,1880 Henke Rd, Lake Saint Louis, MO,0,29,183,311904,-94.593031,38.920637
651,1306 Feise Rd, O Fallon, MO,63368,29,183,311904,-94.566357,39.012983
652,1031 Bryan Rd, O Fallon, MO,63366,29,183,311907,-94.49058,37.08486
653,808 Chautauqua Ln, Dexter, MO,63841,29,207,470600,-91.718711,40.421396
654,512 MO 13, Blue Eye, MO,65611,29,209,90400,-94.529567,39.081994
655,6916 US Hwy 61, Howardville, MO,0,29,143,960300,-94.564514,39.068383
656,801 Main St, New Madrid, MO,63869,29,143,960300,-94.575716,39.086424
657,1120 Carl Sweeney Pkwy, Neosho, MO,64850,29,145,20200,-94.558754,39.007225
659,401 S Main St, Diamond, MO,64840,29,145,20400,-94.557741,38.983372
660,3208 Finley Ave, Joplin, MO,64804,29,145,20501,-94.531658,39.245766
661,1000 Wyndgate Ridge Dr, Lake Saint Louis, MO,63367,29,183,311908,-94.584461,39.069209
662,2998 Technology Dr, Lake Saint Louis, MO,63367,29,183,311909,-94.600874,39.167082
663,2240 Lake Saint Louis Blvd, Lake Saint Louis, MO,63367,29,183,311909,-94.543115,39.081721
664,161 N Main St, Foristell, MO,63348,29,183,312097,-94.493478,38.962194
665,57 Highway T, Foristell, MO,63348,29,183,312097,-94.595191,38.973503
666,107 Crevis Rd, Reeds Spring, MO,65737,29,209,90602,-94.595341,38.972689
667,301 Northeast St, Green City, MO,63545,29,211,480100,-94.54258,39.105959
668,306 N Main St, Newtown, MO,64667,29,211,480200,-94.51891,39.104293
669,370 S Market St, Milan, MO,63556,29,211,480300,-94.555348,39.022579
670,115 E Grand Ave, Milan, MO,63556,29,211,480300,-94.569777,39.111909
671,402 Cedar Ridge Dr, Branson, MO,65616,29,213,480201,-94.540496,39.102071
672,414 Buchanan Rd, Branson, MO,65616,29,213,480201,-94.568493,39.246412
673,1000 Buchanan Rd, Branson, MO,65616,29,213,480201,-94.539787,39.047667
674,404 Cedar Ridge Dr, Branson, MO,65616,29,213,480201,-94.574478,39.032725
675,101 Plaza Dr, Joplin, MO,64804,29,145,20502,-94.411009,39.033681
676,101 E 41st St, Joplin, MO,64804,29,145,20502,-94.507758,38.931739
677,750 National Guard Rd, Neosho, MO,64850,29,145,20800,-94.595315,38.967911
679,7441 Westview Rd, Neosho, MO,64850,29,145,20800,-94.570827,39.058728
680,12350 Norway Rd, Neosho, MO,64850,29,145,20800,-94.556621,39.062444
682,550 Fortune Teller Rd, Granby, MO,64844,29,145,20900,-94.585254,39.071008
683,712 S Main St, Granby, MO,64844,29,145,20900,-94.562382,39.062887
684,3925 Highway D, Defiance, MO,63341,29,183,980000,-94.509183,38.952535
685,409 E Dover St, Appleton City, MO,64724,29,185,480100,-94.502194,38.964317
686,216 Beech St, Appleton City, MO,64724,29,185,480100,-94.486871,38.932666
687,16474 N MO 125, Bradleyville, MO,65614,29,213,480401,-94.560051,39.108285
688,415 Staake Spur, Kissee Mills, MO,65680,29,213,480402,-94.539625,39.076728
689,1794 State Hwy BB, Hollister, MO,65672,29,213,480502,-94.476827,38.95104
690,178 Jessica St, Hollister, MO,65672,29,213,480502,-94.512087,39.174741
691,418 E 2nd St, Maryville, MO,64468,29,147,470400,-94.596383,38.996008
692,418 E 2nd St, Maryville, MO,64468,29,147,470400,-94.563923,39.038546
693,6279 Hwy 61, Bloomsdale, MO,63627,29,186,960100,-94.545277,38.998659
694,16 N Allen St, Bonne Terre, MO,63628,29,187,950300,-94.563558,39.082227
695,110 Pointview Dr, Bonne Terre, MO,63628,29,187,950300,-94.537992,38.996313
696,120 NE Main St, Bonne Terre, MO,63628,29,187,950300,-94.549105,38.990319
697,909 S Fairview Rd, Columbia, MO,65203,29,19,1201,-94.547557,39.081546
698,2201 W Rollins Rd, Columbia, MO,65203,29,19,1201,-94.462431,39.052844
699,5900 NW Prairie View Rd, Kansas City, MO,64151,29,165,30102,-94.593075,39.013701
700,5755 N Northwood Rd, Kansas City, MO,64151,29,165,30102,-94.583379,39.063892
701,6218 N Chatham Ave, Kansas City, MO,64151,29,165,30102,-94.552291,39.083071
702,9661 N McKinley Ave, Kansas City, MO,64157,29,47,21310,-94.58543,38.980858
703,312 Walker St, Licking, MO,65542,29,215,480100,-94.57285,39.019862
704,123 Cedar St, Licking, MO,65542,29,215,480100,-94.550752,39.109039
705,402 S 1st St, Houston, MO,65483,29,215,480300,-94.531239,39.042738
706,1470 S Sam Houston Blvd, Houston, MO,65483,29,215,480300,-94.59572,39.093193
707,807 Summit St, Cabool, MO,65689,29,215,480400,-94.513768,39.114185
708,903 Broadway Ave, Cabool, MO,65689,29,215,480400,-94.509153,39.083065
709,710 E 18th St, Caruthersville, MO,63830,29,155,470400,-94.595315,38.967911
710,1100 Ward Ave, Caruthersville, MO,63830,29,155,470400,-94.490603,38.919119
711,5562 State Hwy 32, Farmington, MO,63640,29,187,950400,-94.505457,38.913515
712,4067 MO 221, Farmington, MO,63640,29,187,950400,-94.494028,38.950001
713,705 Burks Rd, Farmington, MO,63640,29,187,950800,-94.59279,38.886376
714,135 Vierse Dr, Farmington, MO,63640,29,187,950800,-94.503296,38.953892
715,137 Vierse Dr, Farmington, MO,63640,29,187,950800,-94.546677,38.918376
716,209 N Carleton St, Farmington, MO,63640,29,187,950800,-94.485373,38.915522
717,120 N Henry St, Farmington, MO,63640,29,187,950800,-94.568721,39.067701
718,1109 N Desloge Dr, Desloge, MO,63601,29,187,951100,-94.576398,39.075092
719,801 N Desloge Dr, Desloge, MO,63601,29,187,951100,-94.510145,39.090172
720,500 Woodland Ave, Kansas City, MO,64106,29,95,1000,-94.527235,39.053508
721,436 Prospect Ave, Kansas City, MO,64124,29,95,1000,-94.527791,39.115796
722,3221 Independence Ave, Kansas City, MO,64124,29,95,1800,-94.494102,38.925914
723,3505 E 9th St, Kansas City, MO,64124,29,95,1800,-94.513921,38.922477
725,614 Hardesty Ave, Kansas City, MO,64124,29,95,1900,-94.564934,38.974423
726,6400 E 23rd St, Kansas City, MO,64129,29,95,2100,-94.542625,39.007947
727,6201 E 17th St, Kansas City, MO,64126,29,95,2100,-94.494944,38.951718
728,1201 Ewing Ave, Kansas City, MO,64126,29,95,2100,-94.509537,38.922213
729,2830 Holmes St, Kansas City, MO,64109,29,95,4300,-94.541012,39.100743
730,2939 Cherry St, Kansas City, MO,64108,29,95,4300,-94.569867,39.013956
731,2911 Main St, Kansas City, MO,64108,29,95,4400,-94.486871,38.932666
732,3200 Wayne Ave, Kansas City, MO,64109,29,95,5200,-94.594509,39.069517
733,1320 E 32nd Ter, Kansas City, MO,64109,29,95,5200,-94.476827,38.95104
734,1320 E 32nd Ter, Kansas City, MO,64109,29,95,5200,-94.556771,39.195394
735,3400 Paseo Blvd, Kansas City, MO,64109,29,95,5200,-94.529056,38.936705
736,2310 E Linwood Blvd, Kansas City, MO,64109,29,95,5400,-94.549105,38.990319
737,3515 Park Ave, Kansas City, MO,64109,29,95,5500,-94.568721,39.067701
738,3501 Woodland Ave, Kansas City, MO,64109,29,95,5500,-94.537992,38.996313
739,3441 Indiana Ave, Kansas City, MO,64128,29,95,5700,-94.58543,38.980858
740,3831 E 43rd St, Kansas City, MO,64130,29,95,6000,-94.462431,39.052844
741,4245 Indiana Ave, Kansas City, MO,64130,29,95,6000,-94.560313,39.104682
742,1617 W 45th St, Kansas City, MO,64111,29,95,7100,-94.57285,39.019862
743,1012 E 52nd St, Kansas City, MO,64110,29,95,7400,-94.522151,39.081691
744,1025 E Wooter St, Nevada, MO,64772,29,217,950400,-94.514844,38.914495
745,301 S Washington St, La Monte, MO,65337,29,159,480200,-94.54463,39.04892
746,401 W Pettis St, Green Ridge, MO,65332,29,159,480300,-94.543874,39.063402
747,3175 Cross Keys Dr, Florissant, MO,63033,29,189,210803,-94.575497,38.99329
1794,,,,,,,,-91.357899,37.977828
748,6645 Parker Rd, Florissant, MO,63033,29,189,210804,-94.53066,39.162429
749,4417 N US Highway 67, Florissant, MO,63034,29,189,210804,-94.574376,39.017992
750,80 Black Jack Ct, Black Jack, MO,63033,29,189,210806,-94.567417,38.973754
751,11950 Old Halls Ferry Rd, Black Jack, MO,63033,29,189,210806,-94.563558,39.082227
752,3325 Chicory Creek Ln, Florissant, MO,63031,29,189,210924,-94.629414,39.201704
753,2939 Patterson Rd, Florissant, MO,63031,29,189,210924,-94.587977,38.9261
754,1105 Wiethaupt Rd, Florissant, MO,63031,29,189,210924,-94.553755,39.073395
755,1085 Saint Charles St, Florissant, MO,63031,29,189,210925,-94.465483,39.240182
756,14275 New Halls Ferry Rd, Florissant, MO,63033,29,189,210925,-94.58743,39.055599
757,405 Jana Dr, Florissant, MO,63031,29,189,210926,-94.647993,39.211657
758,13100 New Halls Ferry Rd, Florissant, MO,63033,29,189,211000,-94.541756,39.016839
759,1101 Saint Louis St, Florissant, MO,63031,29,189,211000,-94.447695,39.048903
760,13775 New Halls Ferry Rd, Florissant, MO,63033,29,189,211000,-94.555501,39.02065
761,13585 New Halls Ferry Rd, Florissant, MO,63033,29,189,211000,-94.575947,38.987241
762,1700 Derhake Rd, Florissant, MO,63033,29,189,211102,-94.631154,39.249248
763,696 N Jefferson St, Florissant, MO,63031,29,189,211201,-94.606398,38.942052
764,300 Saint Jean St, Florissant, MO,63031,29,189,211201,-94.631478,39.199443
765,390 W Saint Anthony Ln, Florissant, MO,63031,29,189,211202,-94.586488,38.948371
766,975 Lindsay Ln, Florissant, MO,63031,29,189,211301,-94.527443,38.953035
767,2096 Charbonier Rd, Florissant, MO,63031,29,189,211331,-94.507593,38.958143
768,2051 Croftdale Dr, Florissant, MO,63031,29,189,211331,-94.52132,39.185688
769,600 Florland Dr, Florissant, MO,63031,29,189,211331,-94.571981,39.057377
770,1830 Charbonier Rd, Florissant, MO,63031,29,189,211331,-94.577519,39.073639
772,5717 Prospect Ave, Kansas City, MO,64130,29,95,7900,-94.575918,39.250675
773,6007 Swope Pkwy, Kansas City, MO,64130,29,95,7900,-94.477276,39.152197
774,5825 Prospect Ave, Kansas City, MO,64130,29,95,7900,-94.571192,39.071585
775,5900 Swope Pkwy, Kansas City, MO,64130,29,95,7900,-94.556628,39.002268
776,1215 E 59th St, Kansas City, MO,64110,29,95,8100,-94.581539,38.960892
777,6175 Paseo Blvd, Kansas City, MO,64110,29,95,8100,-94.605207,39.046323
778,1215 E 59th St, Kansas City, MO,64110,29,95,8100,-94.557524,38.984884
779,5500 Woodland Ave, Kansas City, MO,64110,29,95,8100,-94.521243,39.179985
780,6016 Troost Ave, Kansas City, MO,64110,29,95,8200,-94.643438,39.208534
781,2 E 59th St, Kansas City, MO,64113,29,95,8300,-94.564562,39.026797
782,6321 Wornall Rd, Kansas City, MO,64113,29,95,8600,-94.477279,39.153258
783,6903 Oak St, Kansas City, MO,64113,29,95,8600,-94.575586,39.263102
784,2316 E Meyer Blvd, Kansas City, MO,64132,29,95,8700,-94.589983,39.051097
785,7050 Askew Ave, Kansas City, MO,64132,29,95,8800,-94.556248,39.068214
786,6410 Swope Pkwy, Kansas City, MO,64132,29,95,8800,-94.542008,39.018801
787,6845 Prospect Ave, Kansas City, MO,64132,29,95,8800,-94.52209,39.112973
788,7227 Jackson Ave, Kansas City, MO,64132,29,95,8900,-94.56358,39.021193
789,3301 E 75th St, Kansas City, MO,64132,29,95,8900,-94.543179,38.993657
790,3301 E 75th St, Kansas City, MO,64132,29,95,8900,-94.587471,39.02047
791,7227 Jackson Ave, Kansas City, MO,64132,29,95,8900,-94.520799,39.07795
792,7304 Cleveland Ave, Kansas City, MO,64132,29,95,8900,-94.477917,39.269364
793,7302 Pennsylvania Ave, Kansas City, MO,64114,29,95,9200,-94.585254,39.071008
794,8111 Oak St, Kansas City, MO,64114,29,95,9400,-94.552425,39.074839
795,8111 Oak St, Kansas City, MO,64114,29,95,9400,-94.570205,39.105361
796,7714 Troost Ave, Kansas City, MO,64131,29,95,9400,-94.56704,39.064853
797,8401 Euclid Ave, Kansas City, MO,64132,29,95,9500,-94.582258,38.951839
798,8434 Paseo Blvd, Kansas City, MO,64131,29,95,9500,-94.572504,39.048202
799,7908 Prospect Ave, Kansas City, MO,64132,29,95,9600,-94.558212,39.099168
800,7815 Prospect Ave, Kansas City, MO,64132,29,95,9600,-94.508251,38.944381
801,8817 Wornall Rd, Kansas City, MO,64114,29,95,9800,-94.588435,39.054234
802,8817 Wornall Rd, Kansas City, MO,64114,29,95,9800,-94.556073,39.094943
803,1170 W 103rd St, Kansas City, MO,64114,29,95,10001,-94.584283,39.00274
804,9901 Locust St, Kansas City, MO,64131,29,95,10002,-94.503272,39.097304
805,9700 Holmes Rd, Kansas City, MO,64131,29,95,10002,-94.668422,39.24107
806,9810 Grand Ave, Kansas City, MO,64114,29,95,10002,-94.585048,39.074562
807,11430 Wornall Rd, Kansas City, MO,64114,29,95,10105,-94.578557,39.064882
808,800 E Main St, Marthasville, MO,63357,29,219,820202,-94.60789,39.251853
809,819 Hazelwest Dr, Hazelwood, MO,63042,29,189,211332,-94.585254,39.071008
810,733 Dunn Rd, Hazelwood, MO,63042,29,189,211332,-94.589318,38.950158
811,444 Candle Light Ln, Hazelwood, MO,63042,29,189,211332,-94.58761,38.931441
812,445 Candle Light Ln, Hazelwood, MO,63042,29,189,211332,-94.541773,39.243396
813,585 Coachway Ln, Hazelwood, MO,63042,29,189,211332,-94.541773,39.243396
814,7350 Howdershell Rd, Hazelwood, MO,63042,29,189,211332,-94.358613,39.372795
815,8608 Frost Ave, Berkeley, MO,63134,29,189,211500,-94.540888,39.033308
816,7118 N Hanley Rd, Hazelwood, MO,63042,29,189,211600,-94.36732,39.37089
817,8420 Sunbury Ave, Jennings, MO,63136,29,189,212001,-94.359664,39.35795
818,8920 Cozens Ave, Jennings, MO,63136,29,189,212001,-94.388987,39.366755
819,7047 Emma Ave, Jennings, MO,63136,29,189,212101,-90.059157,36.230173
820,2601 N Liberty St, Independence, MO,64050,29,95,11300,-90.064811,36.24188
821,912 Atherton Rd, Independence, MO,64056,29,95,11300,-94.521356,40.053711
822,2601 N Liberty St, Independence, MO,64050,29,95,11300,-91.926439,38.957651
823,1525 N Noland Rd, Independence, MO,64050,29,95,11300,-92.590948,40.203658
824,1525 N Noland Rd, Independence, MO,64050,29,95,11300,-90.060053,36.250084
826,16995 E Dover Ln, Independence, MO,64056,29,95,11405,-92.558272,40.190046
827,16995 E Dover Ln, Independence, MO,64056,29,95,11405,-92.586659,40.198861
828,18400 E Salisbury Rd, Independence, MO,64056,29,95,11406,-92.592128,40.202874
829,509 Jennings Rd, Independence, MO,64056,29,95,11406,-92.56722,40.1849
830,509 Jennings Rd, Independence, MO,64056,29,95,11406,-93.047379,36.688664
831,315 S Leslie St, Independence, MO,64050,29,95,11500,-90.402036,38.564572
832,429 S Leslie St, Independence, MO,64050,29,95,11500,-93.533738,38.762127
833,429 S Leslie St, Independence, MO,64050,29,95,11500,-93.57554,38.769261
834,2437 S Hardy Ave, Independence, MO,64052,29,95,11900,-93.55715,38.757472
835,4010 Sterling Ave, Kansas City, MO,64133,29,95,12000,-93.5754,38.769272
836,11801 E 32nd St S, Independence, MO,64052,29,95,12100,-93.419623,38.772076
837,8945 James A Reed Rd, Kansas City, MO,64138,29,95,12903,-90.440648,38.585452
838,9400 Eastern Ave, Kansas City, MO,64138,29,95,12903,-93.551204,38.767442
1795,,,,,,,,-90.052894,37.981054
839,10601 Blue Ridge Blvd, Kansas City, MO,64134,29,95,12906,-91.646323,39.162892
840,10530 Greenwood Rd, Kansas City, MO,64134,29,95,12906,-92.4926,40.023502
841,9201 E Bannister Rd, Kansas City, MO,64134,29,95,12906,-92.640096,38.186641
842,9601 James A Reed Rd, Kansas City, MO,64134,29,95,12906,-92.636333,38.196175
843,8101 E Bannister Rd, Kansas City, MO,64134,29,95,12906,-92.633844,38.182989
844,10530 Greenwood Rd, Kansas City, MO,64134,29,95,12906,-92.636333,38.196175
845,9201 E Bannister Rd, Kansas City, MO,64134,29,95,12906,-90.788832,38.777993
847,10450 Hickman Mills Dr, Kansas City, MO,64137,29,95,13003,-92.632973,38.221495
848,5305 E Bannister Rd, Kansas City, MO,64137,29,95,13003,-90.810948,38.759674
849,11115 Bennington Ave, Kansas City, MO,64134,29,95,13100,-90.75615,38.803315
850,11116 Blue Ridge Blvd, Kansas City, MO,64134,29,95,13100,-90.787628,38.787946
851,11522 Blue Ridge Blvd, Kansas City, MO,64134,29,95,13100,-94.267801,37.49297
852,10900 Marsh Ave, Kansas City, MO,64134,29,95,13203,-94.262105,37.485226
853,301 Rumsey St, Niangua, MO,65713,29,225,470101,-92.627288,37.667628
855,220 S Elm St, Marshfield, MO,65706,29,225,470201,-92.667751,37.696797
856,110 Commercial St, Marshfield, MO,65706,29,225,470201,-92.663147,37.686298
857,609 N Locust St, Marshfield, MO,65706,29,225,470201,-92.67378,37.755455
858,130 Memorial Dr, Louisiana, MO,63353,29,163,460100,-92.665622,37.696483
859,500 Haley Ave, Louisiana, MO,63353,29,163,460100,-90.770078,38.772049
860,1020 S Florissant Rd, Ferguson, MO,63135,29,189,212700,-92.674068,37.67972
861,12300 Natural Bridge Rd, Bridgeton, MO,63044,29,189,213101,-94.360702,38.933706
862,3199 Parkwood Ln, Maryland Heights, MO,63043,29,189,213202,-92.666589,37.679203
863,3163 Fee Fee Rd, Bridgeton, MO,63044,29,189,213203,-94.359025,38.896619
864,9843 Saint Charles Rock Rd, Breckenridge Hills, MO,63074,29,189,213300,-94.343129,38.901664
865,120 N Cedar Ave, Independence, MO,64053,29,95,11000,-94.360808,38.90454
866,11600 Food Ln, Kansas City, MO,64134,29,95,13208,-94.370007,38.903856
867,8925 Longview Rd, Kansas City, MO,64134,29,95,13208,-94.390834,38.9096
869,12920 Booth Ln, Grandview, MO,64030,29,95,13309,-94.385555,38.928179
870,7010 E 136th St, Grandview, MO,64030,29,95,13313,-94.359738,39.014051
871,201 E 133rd St, Kansas City, MO,64145,29,95,13405,-94.359389,38.927601
872,1002 W Main St, Greenwood, MO,64034,29,95,13502,-94.383606,38.852797
873,108 Ranson Rd, Greenwood, MO,64034,29,95,13502,-94.42464,38.905624
874,1702 W Main St, Greenwood, MO,64034,29,95,13502,-94.354578,39.002961
875,812 SW Forestpark Ln, Lees Summit, MO,64081,29,95,13612,-94.377982,38.906307
876,905 SE Douglas St, Lees Summit, MO,64063,29,95,13703,-94.374802,38.910677
877,407 SE Douglas St, Lees Summit, MO,64063,29,95,13703,-94.391003,38.909005
878,905 SW Oldham Pkwy, Lees Summit, MO,64081,29,95,13704,-94.326064,38.904603
879,850 NE Swan Rd, Lees Summit, MO,64086,29,95,13801,-93.695632,38.587765
880,1251 SE Century Dr, Lees Summit, MO,64081,29,95,13802,-93.695667,38.586797
882,914 SE 7th Ter, Lees Summit, MO,64063,29,95,13802,-94.372929,38.924956
883,600 N Bynum Rd, Lone Jack, MO,64070,29,95,13902,-94.336305,38.916711
884,801 S Business 61, Bowling Green, MO,63334,29,163,460400,-93.871348,39.180673
886,700 W Adams St, Bowling Green, MO,63334,29,163,460400,-94.515738,37.558129
887,28176 Highway WW, Clarksville, MO,63336,29,163,460500,-94.445978,39.247847
889,8100 N Congress Ave, Kansas City, MO,64152,29,165,30209,-94.447414,39.243579
890,56 Worthington Access Dr, Maryland Heights, MO,63043,29,189,215001,-94.457644,39.224878
891,12821 Portulaca Dr, Saint Louis, MO,63146,29,189,215103,-94.410451,39.215754
892,1751 McKelvey Rd, Maryland Heights, MO,63043,29,189,215142,-94.415779,39.246055
893,13601 Riverport Dr, Maryland Heights, MO,63043,29,189,215143,-94.44146,39.245786
894,2905 Rose Acres Ln, Maryland Heights, MO,63043,29,189,215143,-94.439958,39.245516
895,13444 Beagle Ln, Chesterfield, MO,63141,29,189,215202,-91.861028,37.492302
896,940 N Woods Mill Rd, Chesterfield, MO,63017,29,189,215202,-91.857976,37.498852
897,13416 Olive St Rd, Chesterfield, MO,63017,29,189,215202,-93.876,39.171095
898,170 Portico Dr, Chesterfield, MO,63017,29,189,215231,-93.334505,38.392902
899,1103 SW 1st St, Oak Grove, MO,64075,29,95,14004,-93.877535,39.169125
902,555 RD Mize Rd, Grain Valley, MO,64029,29,95,14007,-94.170988,38.880754
904,1505 NW Mock Ave, Blue Springs, MO,64015,29,95,14101,-90.822121,38.285944
906,2300 SW State Route 7, Blue Springs, MO,64014,29,95,14105,-91.075822,39.434503
907,871 NE Anderson Ln, Lees Summit, MO,64064,29,95,14203,-91.069539,39.440654
908,4747 S Hocker Rd, Kansas City, MO,64136,29,95,14300,-91.032599,39.379635
910,418 Mack St, Chillicothe, MO,64601,29,117,480500,-92.465345,39.723168
911,211 Locust St, Chillicothe, MO,64601,29,117,480500,-92.465645,39.748711
912,704 Maple Leaf St, Dearborn, MO,64439,29,165,30600,-92.966795,37.971264
913,301 N Walnut St, Fair Play, MO,65649,29,167,960100,-92.468755,39.719073
916,520 N Holt Ave, Bolivar, MO,65613,29,167,960200,-92.214775,39.470952
917,921 S Pike Ave, Bolivar, MO,65613,29,167,960300,-92.471573,39.736577
918,3760 S Springfield Ave, Bolivar, MO,65613,29,167,960300,-92.464649,39.726725
919,815 S Main Ave, Bolivar, MO,65613,29,167,960300,-95.076364,40.202366
920,1356 MO 32, Bolivar, MO,65613,29,167,960400,-89.974222,36.600382
921,1 Oak Knoll Park, Clayton, MO,63105,29,189,216400,-89.967672,36.558241
922,7447 Wellington Way, Clayton, MO,63105,29,189,216400,-90.522408,38.594767
923,7530 Maryland Ave, Clayton, MO,63105,29,189,216400,-90.515252,38.595501
924,3301 S Noland Rd, Independence, MO,64055,29,95,14601,-90.524888,38.571211
925,15208 E 39th St S, Independence, MO,64055,29,95,14601,-90.510563,38.579921
926,15208 E 39th St S, Independence, MO,64055,29,95,14601,-89.972116,36.567464
927,17200 E 39th St S, Independence, MO,64055,29,95,14603,-92.587766,37.110803
929,2901 M 291 Frontage Rd, Independence, MO,64057,29,95,14604,-92.588366,37.109559
931,2611 S Lees Summit Rd, Independence, MO,64055,29,95,14604,-90.168337,37.431358
932,2611 S Lees Summit Rd, Independence, MO,64055,29,95,14604,-90.167094,37.429618
933,17302 E RD Mize Rd, Independence, MO,64057,29,95,14702,-93.195751,39.123897
934,17302 E RD Mize Rd, Independence, MO,64057,29,95,14702,-93.208553,39.133592
935,215 S Sibley St, Buckner, MO,64016,29,95,14902,-92.911696,37.328494
936,1405 NW Persimmon Dr, Grain Valley, MO,64029,29,95,14903,-93.203968,39.124681
937,628 Johnson Dr, Noel, MO,64854,29,119,70300,-92.894319,37.336435
938,713 S Anderson St, Anderson, MO,64831,29,119,70400,-93.213342,39.102446
939,712 S Highway 59, Anderson, MO,64831,29,119,70400,-92.893487,37.337304
940,201 W Moore St, La Plata, MO,63549,29,121,960100,-92.906797,37.335874
941,1307 Maffry Ave, Macon, MO,63552,29,121,960400,-92.929701,37.342063
942,815 State Highway PP, Macon, MO,63552,29,121,960500,-92.898823,37.34459
943,406 Blees Industrial Dr, Macon, MO,63552,29,121,960500,-90.443359,38.707003
944,55 S Rubey St, Macon, MO,63552,29,121,960500,-90.46445,38.750263
945,804 Patton St, Macon, MO,63552,29,121,960500,-90.434314,38.737083
946,113 NW 191st Rd, Warrensburg, MO,64093,29,101,960300,-90.457347,38.736734
947,360 SW State Route 13, Warrensburg, MO,64093,29,101,960300,-90.455704,38.709785
948,1010 S Holden St, Warrensburg, MO,64093,29,101,960400,-94.869472,40.346902
949,315 E Clark St, Warrensburg, MO,0,29,101,960400,-94.869472,40.346902
950,3107 Cook Rd, Saint Joseph, MO,64506,29,21,200,-91.050683,38.627711
951,2610 Blackwell Rd, Saint Joseph, MO,64505,29,21,200,-94.881515,40.351167
952,5210 Mitchell Ave, Saint Joseph, MO,64507,29,21,701,-94.874278,40.319835
954,4525 Downs Dr, Saint Joseph, MO,64507,29,21,701,-92.167495,40.460778
955,304 N 8th St, Saint Joseph, MO,64501,29,21,1200,-91.886173,39.173789
957,200 Cherokee St, St Joseph, MO,64504,29,21,2400,-94.366419,39.888809
958,1235 N Main St, Poplar Bluff, MO,63901,29,23,950300,-91.877321,39.166661
959,2337 N Main St, Poplar Bluff, MO,63901,29,23,950300,-93.125357,40.199494
960,1601 N Main St, Poplar Bluff, MO,63901,29,23,950300,-93.124302,40.197128
963,2060 Air Park Rd, Ozark, MO,65721,29,43,20305,-92.41813,39.40864
